subdivid,sum(num),lat,lng
bangbae,1851,37.4799348,126.9934602
jongam,2877,37.6001709,127.031602
hehwa,3362,37.5636603,126.9804682
namdaemoon,3217,37.586755,127.0003554
seoboo,3395,37.5491199,126.9555
seongbook,3539,37.589116,127.0182146
jongno,4030,37.5729503,126.9793579
joongboo,4435,37.6026957,126.9291119
eunpyeong,4459,37.6687738,127.0470706
dobong,4368,37.540033,127.00485
dongjak,5387,37.512402,126.9392525
suseo,5391,37.4874685,127.1013245
seongdong,5418,37.5633415,127.0371025
seodaemoon,6219,37.5791158,126.9367789
seocho,6560,37.4518527,126.9020358
geumcheon,6401,37.4837121,127.0324112
yangcheon,6905,37.5168721,126.8663985
yongsan,6972,37.5384272,126.9654442
nowon,7564,37.5301251,127.123762
gangdong,7735,37.5384843,127.0822938
gwangjin,8634,37.5172363,127.0473248
gangbook,7552,37.6541917,127.056793
gangnam,8663,37.5743682,127.0400189
dongdaemoon,8410,37.6396099,127.0256575
guro,9110,37.5637561,126.9084211
mapo,9644,37.5145437,127.1065971
gwanak,9603,37.6065602,127.0926519
joonglang,8976,37.4954031,126.887369
songpa,10150,37.5509786,126.8495382
gangseo,9547,37.4784063,126.9516133
yeongdeungpo,10521,37.5263715,126.8962283
