subdivid,num,lat,lng
bangbae,1851.0,37.479935,126.99346
jongam,2877.0,37.60017,127.0316
hehwa,3362.0,37.56366,126.98047
namdaemoon,3217.0,37.586754,127.00036
seoboo,3395.0,37.549118,126.9555
seongbook,3539.0,37.589115,127.01821
jongno,4030.0,37.57295,126.979355
joongboo,4435.0,37.602695,126.929115
eunpyeong,4459.0,37.668774,127.04707
dobong,4368.0,37.54003,127.00485
dongjak,5387.0,37.5124,126.939255
suseo,5391.0,37.48747,127.101326
seongdong,5418.0,37.563343,127.0371
seodaemoon,6219.0,37.579117,126.936775
seocho,6560.0,37.45185,126.90204
geumcheon,6401.0,37.48371,127.03241
yangcheon,6905.0,37.516872,126.8664
yongsan,6972.0,37.538425,126.96545
nowon,7564.0,37.530125,127.123764
gangdong,7735.0,37.538483,127.08229
gwangjin,8634.0,37.517235,127.047325
gangbook,7552.0,37.65419,127.05679
gangnam,8663.0,37.574368,127.040016
dongdaemoon,8410.0,37.63961,127.02566
guro,9110.0,37.563755,126.908424
mapo,9644.0,37.514545,127.1066
gwanak,9603.0,37.60656,127.09265
joonglang,8976.0,37.495403,126.88737
songpa,10150.0,37.55098,126.84954
gangseo,9547.0,37.478405,126.951614
yeongdeungpo,10521.0,37.52637,126.896225
