Sido,Sigun,id,violence,theft,robber,rape,murder
서울,종로구,11110,0.416,0.218,0.218,0.073,0.07
서울,중구,11140,0.412,0.217,0.235,0.071,0.06
서울,용산구,11170,0.393,0.239,0.217,0.08,0.066
서울,성동구,11200,0.428,0.2,0.226,0.078,0.064
서울,광진구,11215,0.441,0.194,0.221,0.072,0.069
서울,동대문구,11230,0.421,0.219,0.227,0.064,0.064
서울,중랑구,11260,0.421,0.214,0.237,0.06,0.064
서울,성북구,11290,0.438,0.195,0.226,0.067,0.07
서울,강북구,11305,0.427,0.201,0.246,0.057,0.064
서울,도봉구,11320,0.416,0.208,0.243,0.063,0.065
서울,노원구,11350,0.424,0.181,0.258,0.067,0.066
서울,은평구,11380,0.443,0.19,0.23,0.062,0.069
서울,서대문구,11410,0.444,0.192,0.219,0.07,0.072
서울,마포구,11440,0.458,0.182,0.205,0.074,0.077
서울,양천구,11470,0.432,0.196,0.232,0.074,0.062
서울,강서구,11500,0.444,0.194,0.223,0.07,0.066
서울,구로구,11530,0.436,0.213,0.222,0.062,0.063
서울,금천구,11545,0.437,0.201,0.238,0.057,0.063
서울,영등포구,11560,0.427,0.216,0.218,0.073,0.062
서울,동작구,11590,0.441,0.197,0.219,0.075,0.064
서울,관악구,11620,0.457,0.171,0.227,0.068,0.072
서울,서초구,11650,0.364,0.256,0.219,0.1,0.057
서울,강남구,11680,0.354,0.268,0.22,0.099,0.056
서울,송파구,11710,0.403,0.224,0.225,0.085,0.059
서울,강동구,11740,0.413,0.222,0.228,0.072,0.061
