subdivid,sum(num),lat,lng
bangbae,796,37.4799348,126.9934602
jongam,1207,37.6001709,127.031602
hehwa,1293,37.586755,127.0003554
namdaemoon,1318,37.5636603,126.9804682
seoboo,1424,37.5491199,126.9555
seongbook,1465,37.589116,127.0182146
jongno,1640,37.5729503,126.9793579
joongboo,1750,37.540033,127.00485
eunpyeong,1929,37.6026957,126.9291119
dobong,1930,37.6687738,127.0470706
dongjak,2160,37.512402,126.9392525
suseo,2382,37.4874685,127.1013245
seongdong,2392,37.5633415,127.0371025
seodaemoon,2554,37.5791158,126.9367789
seocho,2626,37.4837121,127.0324112
geumcheon,2756,37.4518527,126.9020358
yangcheon,2793,37.5168721,126.8663985
yongsan,2835,37.5384272,126.9654442
nowon,3021,37.6541917,127.056793
gangdong,3273,37.5301251,127.123762
gwangjin,3312,37.5384843,127.0822938
gangbook,3323,37.6396099,127.0256575
gangnam,3523,37.5172363,127.0473248
dongdaemoon,3623,37.5743682,127.0400189
guro,3744,37.4954031,126.887369
mapo,3771,37.5637561,126.9084211
gwanak,3925,37.4784063,126.9516133
joonglang,3935,37.6065602,127.0926519
songpa,4060,37.5145437,127.1065971
gangseo,4097,37.5509786,126.8495382
yeongdeungpo,4199,37.5263715,126.8962283
